Community,General habitat,Description,Consumer,Resource,D,Cmass,Rmass,Log10Cmass,Log10Rmass,Log10CRBR,Source
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Dicranota sp,Brillia modesta,2,0.000000475,1.31E-08,-6.323447216,-7.884156596,-1.56070938,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Dicranota sp,Zavrelimyia barbatipes,2,0.000000475,8.63E-09,-6.323447216,-8.06374822,-1.740301004,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Dicranota sp,Heterotrissocladius marcidus,2,0.000000475,5.71E-09,-6.323447216,-8.243297726,-1.91985051,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Dicranota sp,Polypedilum albicorne,2,0.000000475,5.09E-09,-6.323447216,-8.293507529,-1.970060313,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Dicranota sp,Micropsectra bidentata,2,0.000000475,3.80E-09,-6.323447216,-8.420247262,-2.096800046,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Potamophylax cinguilatus,2,0.000000157,0.00000408,-6.803785114,-5.388819421,1.414965693,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Oligochaete spp.,2,0.000000157,0.000000608,-6.803785114,-6.216047137,0.587737978,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Leuctra hippopus,2,0.000000157,0.000000215,-6.803785114,-6.667478729,0.136306385,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Prodiames olivacea,2,0.000000157,0.000000173,-6.803785114,-6.762574402,0.041210712,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Nemurella pictetii,2,0.000000157,0.000000102,-6.803785114,-6.991915327,-0.188130212,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Tipulidae spp,2,0.000000157,9.49E-08,-6.803785114,-7.022607499,-0.218822385,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Simulium sp,2,0.000000157,4.74E-08,-6.803785114,-7.324125465,-0.52034035,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Leuctra nigra,2,0.000000157,4.17E-08,-6.803785114,-7.38030784,-0.576522725,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Trissopelopia longimana,2,0.000000157,3.55E-08,-6.803785114,-7.44938768,-0.645602566,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Brillia modesta,2,0.000000157,1.31E-08,-6.803785114,-7.884156596,-1.080371481,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Zavrelimyia barbatipes,2,0.000000157,8.63E-09,-6.803785114,-8.06374822,-1.259963106,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Heterotrissocladius marcidus,2,0.000000157,5.71E-09,-6.803785114,-8.243297726,-1.439512611,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Polypedilum albicorne,2,0.000000157,5.09E-09,-6.803785114,-8.293507529,-1.489722415,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Micropsectra bidentata,2,0.000000157,3.80E-09,-6.803785114,-8.420247262,-1.616462148,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Macropelopia nebulosa,Corynoneura lobata,2,0.000000157,3.54E-09,-6.803785114,-8.450677882,-1.646892767,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Pedicia sp,Sialis fuliginosa,2,0.00000681,0.00000276,-5.167058222,-5.559672097,-0.392613875,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Pedicia sp,Prodiames olivacea,2,0.00000681,0.000000173,-5.167058222,-6.762574402,-1.59551618,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Pedicia sp,Nemurella pictetii,2,0.00000681,0.000000102,-5.167058222,-6.991915327,-1.824857104,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Pedicia sp,Leuctra nigra,2,0.00000681,4.17E-08,-5.167058222,-7.38030784,-2.213249617,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Pedicia sp,Trissopelopia longimana,2,0.00000681,3.55E-08,-5.167058222,-7.44938768,-2.282329458,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Pedicia sp,Brillia modesta,2,0.00000681,1.31E-08,-5.167058222,-7.884156596,-2.717098374,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Pedicia sp,Heterotrissocladius marcidus,2,0.00000681,5.71E-09,-5.167058222,-8.243297726,-3.076239504,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Pedicia sp,Polypedilum albicorne,2,0.00000681,5.09E-09,-5.167058222,-8.293507529,-3.126449307,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Pedicia sp,Micropsectra bidentata,2,0.00000681,3.80E-09,-5.167058222,-8.420247262,-3.25318904,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Pedicia sp,2,0.00000074,0.00000681,-6.130998987,-5.167058222,0.963940765,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Potamophylax cinguilatus,2,0.00000074,0.00000408,-6.130998987,-5.388819421,0.742179566,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Oligochaete spp.,2,0.00000074,0.000000608,-6.130998987,-6.216047137,-0.08504815,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Dicranota sp,2,0.00000074,0.000000475,-6.130998987,-6.323447216,-0.192448229,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Niphargus aquilex,2,0.00000074,0.00000038,-6.130998987,-6.420063284,-0.289064297,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Siphonoperla torrentium,2,0.00000074,0.000000326,-6.130998987,-6.48696095,-0.355961963,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Leuctra hippopus,2,0.00000074,0.000000215,-6.130998987,-6.667478729,-0.536479742,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Prodiames olivacea,2,0.00000074,0.000000173,-6.130998987,-6.762574402,-0.631575415,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Macropelopia nebulosa,2,0.00000074,0.000000157,-6.130998987,-6.803785114,-0.672786127,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Nemurella pictetii,2,0.00000074,0.000000102,-6.130998987,-6.991915327,-0.860916339,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Tipulidae spp,2,0.00000074,9.49E-08,-6.130998987,-7.022607499,-0.891608512,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Simulium sp,2,0.00000074,4.74E-08,-6.130998987,-7.324125465,-1.193126477,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Leuctra nigra,2,0.00000074,4.17E-08,-6.130998987,-7.38030784,-1.249308852,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Trissopelopia longimana,2,0.00000074,3.55E-08,-6.130998987,-7.44938768,-1.318388693,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Paraleptophlebia submarginata,2,0.00000074,2.43E-08,-6.130998987,-7.613804344,-1.482805357,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Brillia modesta,2,0.00000074,1.31E-08,-6.130998987,-7.884156596,-1.753157609,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Zavrelimyia barbatipes,2,0.00000074,8.63E-09,-6.130998987,-8.06374822,-1.932749233,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Heterotrissocladius marcidus,2,0.00000074,5.71E-09,-6.130998987,-8.243297726,-2.112298739,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Polypedilum albicorne,2,0.00000074,5.09E-09,-6.130998987,-8.293507529,-2.162508542,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Micropsectra bidentata,2,0.00000074,3.80E-09,-6.130998987,-8.420247262,-2.289248275,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Plectrocnemia conspersa,Corynoneura lobata,2,0.00000074,3.54E-09,-6.130998987,-8.450677882,-2.319678895,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Potamophylax cinguilatus,2,0.00000276,0.00000408,-5.559672097,-5.388819421,0.170852676,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Helodidae sp,2,0.00000276,0.00000183,-5.559672097,-5.738381512,-0.178709415,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Plectrocnemia conspersa,2,0.00000276,0.00000074,-5.559672097,-6.130998987,-0.57132689,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Oligochaete spp.,2,0.00000276,0.000000608,-5.559672097,-6.216047137,-0.65637504,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Dicranota sp,2,0.00000276,0.000000475,-5.559672097,-6.323447216,-0.763775119,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Niphargus aquilex,2,0.00000276,0.00000038,-5.559672097,-6.420063284,-0.860391188,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Siphonoperla torrentium,2,0.00000276,0.000000326,-5.559672097,-6.48696095,-0.927288853,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Leuctra hippopus,2,0.00000276,0.000000215,-5.559672097,-6.667478729,-1.107806632,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Prodiames olivacea,2,0.00000276,0.000000173,-5.559672097,-6.762574402,-1.202902305,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Macropelopia nebulosa,2,0.00000276,0.000000157,-5.559672097,-6.803785114,-1.244113018,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Nemurella pictetii,2,0.00000276,0.000000102,-5.559672097,-6.991915327,-1.43224323,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Tipulidae spp,2,0.00000276,9.49E-08,-5.559672097,-7.022607499,-1.462935402,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Simulium sp,2,0.00000276,4.74E-08,-5.559672097,-7.324125465,-1.764453368,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Leuctra nigra,2,0.00000276,4.17E-08,-5.559672097,-7.38030784,-1.820635743,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Trissopelopia longimana,2,0.00000276,3.55E-08,-5.559672097,-7.44938768,-1.889715583,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Brillia modesta,2,0.00000276,1.31E-08,-5.559672097,-7.884156596,-2.324484499,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Zavrelimyia barbatipes,2,0.00000276,8.63E-09,-5.559672097,-8.06374822,-2.504076123,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Heterotrissocladius marcidus,2,0.00000276,5.71E-09,-5.559672097,-8.243297726,-2.683625629,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Polypedilum albicorne,2,0.00000276,5.09E-09,-5.559672097,-8.293507529,-2.733835432,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Micropsectra bidentata,2,0.00000276,3.80E-09,-5.559672097,-8.420247262,-2.860575165,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Sialis fuliginosa,Corynoneura lobata,2,0.00000276,3.54E-09,-5.559672097,-8.450677882,-2.891005785,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Siphonoperla torrentium,Oligochaete spp.,2,0.000000326,0.000000608,-6.48696095,-6.216047137,0.270913813,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Siphonoperla torrentium,Leuctra hippopus,2,0.000000326,0.000000215,-6.48696095,-6.667478729,-0.180517779,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Siphonoperla torrentium,Prodiames olivacea,2,0.000000326,0.000000173,-6.48696095,-6.762574402,-0.275613452,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Siphonoperla torrentium,Macropelopia nebulosa,2,0.000000326,0.000000157,-6.48696095,-6.803785114,-0.316824164,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Siphonoperla torrentium,Nemurella pictetii,2,0.000000326,0.000000102,-6.48696095,-6.991915327,-0.504954376,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Siphonoperla torrentium,Simulium sp,2,0.000000326,4.74E-08,-6.48696095,-7.324125465,-0.837164514,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Siphonoperla torrentium,Leuctra nigra,2,0.000000326,4.17E-08,-6.48696095,-7.38030784,-0.893346889,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Siphonoperla torrentium,Trissopelopia longimana,2,0.000000326,3.55E-08,-6.48696095,-7.44938768,-0.96242673,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Siphonoperla torrentium,Zavrelimyia barbatipes,2,0.000000326,8.63E-09,-6.48696095,-8.06374822,-1.57678727,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Siphonoperla torrentium,Heterotrissocladius marcidus,2,0.000000326,5.71E-09,-6.48696095,-8.243297726,-1.756336776,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Siphonoperla torrentium,Polypedilum albicorne,2,0.000000326,5.09E-09,-6.48696095,-8.293507529,-1.806546579,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Siphonoperla torrentium,Micropsectra bidentata,2,0.000000326,3.80E-09,-6.48696095,-8.420247262,-1.933286312,{Woodward  2005 #5753;Brose  2005 #2437}
